,yeast_ID,yeast_REPLACEMENT_ID,AGORA_abbr,bigg_reaction,CARVEME_abbr
cytidine,cytidine[e],s_0544,cytd,EX_cytd_e,cytd
D-glucose 6-phosphate,D-glucose 6-phosphate[e],s_4150,g6p,EX_g6p_e,g6p
D-Glucosamine,D-Glucosamine[e],s_4164,gam,EX_gam_e,gam
alpha-D-glucosamine 6-phosphate,alpha-D-glucosamine 6-phosphate[e],s_0413,gam6p,EX_gam6p_e,gam6p
glycerol,glycerol[e],s_0766,glyc,EX_glyc_e,glyc
guanosine,guanosine[e],s_0791,gsn,EX_gsn_e,gsn
glutathione disulfide,glutathione disulfide[e],s_0755,gthox,EX_gthox_e,gthox
indol-3-ylacetaldehyde,indol-3-ylacetaldehyde[e],s_0851,id3acald,EX_id3acald_e,id3acald
(S)-malate,(S)-malate[e],s_0067,mal_L,EX_mal__L_e,mal__L
S-methyl-L-methionine,S-methyl-L-methionine[e],s_1425,mmet,EX_mmet_e,mmet
NMN,NMN[e],s_1225,nmn,EX_nmn_e,nmn
ornithine,ornithine[e],s_1267,orn,EX_orn_e,orn
3-phospho-serine,3-phospho-serine[e],s_4147,pser_L,EX_pser__L_e,pser__L
pyruvate,pyruvate[e],s_1400,pyr,EX_pyr_e,pyr
D-tagatose,D-tagatose[e],s_4130,tagat_D,EX_tag__D_e,tag__D
UMP,UMP[e],s_4151,ump,EX_ump_e,ump
Glutathione disulfide,Glutathione disulfide[e],s_0755,gthox,EX_gthox_e,gthox
acetate,acetate[e],s_0364,ac,EX_ac_e,ac
formate,formate[e],s_0723,for,EX_for_e,for
4-aminobenzoate,,s_0272,4abz,EX_4abz_e,4abz
"7,8-diaminononanoate",,s_0342,dann,EX_dann_e,dann
8-amino-7-oxononanoate,,s_0354,8aonn,EX_8aonn_e,8aonn
allantoin,,s_0408,alltn,EX_alltn_e,alltn
trehalose,,s_1521,tre,EX_tre_e,tre
carbon dioxide,,s_0458,co2,EX_co2_e,co2
choline,,s_0513,chol,EX_chol_e,chol
cytosine,,s_0546,csn,EX_csn_e,csn
D-arabinose,,s_0549,arab_D,EX_arab__D_e,arab__D
D-galacturonate,,s_0560,galur,EX_galur_e,galur
D-mannose,,s_0572,man,EX_man_e,man
ethanol,,s_0681,etoh,EX_etoh_e,etoh
ethanolamine,,s_0684,etha,EX_etha_e,etha
glycolaldehyde,,s_0776,gcald,EX_gcald_e,gcald
